India Poly Module,,
Mono High Eff / PERC Module,perc,1
Mono High Eff / PERC Module in China,perc_china,2
Mono Silicon Solar Module,mono,3
Poly High Eff / PERC Module,poly_high,4
Poly Module in China,poly_china,5
Poly Silicon Solar Module,poly,6
Poly Solar Module,poly,6
Silicon Module Per Watt,poly,6
Silicon Module Price Per Watt,poly,6
Silicon PV Module Price Per Watt,poly,6
Silicon Solar Module,poly,6
ThinFilm Module Per Watt,,7
ThinFilm Module Price Per Watt,,7
ThinFilm PV Module Price Per Watt,,7
ThinFilm Solar Module,,7
US Multi Solar Module,,7